threshold,precision,recall,f1,costo_q,alertas_por_100k
0.0003539876669370228,0.03386769022352676,1.0,0.06551648831622625,2310660.0,100000.0
0.0005072285325826802,0.03389830508474576,1.0,0.06557377049180328,2308500.0,99909.68615940394
0.0005426855938892988,0.033926417370325694,1.0,0.06562636721598367,2306520.0,99826.89847219086
0.0005686542775149495,0.03395457632234211,1.0,0.06567904838356564,2304540.0,99744.1107849778
0.0005846640015795118,0.03398278205709107,1.0,0.06573181419807186,2302560.0,99661.32309776473
0.0006074093244666676,0.03401103469125538,1.0,0.06578466486367955,2300580.0,99578.53541055167
0.000626846410559756,0.0340393343419062,1.0,0.06583760058522312,2298600.0,99495.7477233386
0.0006391413140552629,0.034067681126504656,1.0,0.06589062156819679,2296620.0,99412.96003612554
0.0006545737968626354,0.03409607516290347,1.0,0.06594372801875732,2294640.0,99330.17234891247
0.0006693901142909288,0.034124516569348604,1.0,0.06599692014372663,2292660.0,99247.3846616994
0.0006794256358513433,0.03415300546448088,1.0,0.06605019815059446,2290680.0,99164.59697448634
0.0006953954373084628,0.034181541967337636,1.0,0.06610356224752112,2288700.0,99081.80928727327
0.0007074007103193027,0.03421012619735442,1.0,0.06615701264334019,2286720.0,98999.02160006021
0.0007179735361175094,0.03424136356718917,1.0,0.06621542083578576,2284560.0,98908.70775946415
0.000724956070921426,0.03427004797806717,1.0,0.06626905235255136,2282580.0,98825.92007225107
0.0007312003539584619,0.03429878048780488,1.0,0.06632277081798084,2280600.0,98743.132385038
0.0007419948898038125,0.03432756121748417,1.0,0.06637657644369054,2278620.0,98660.34469782494
0.0007555169402518145,0.03435639028859368,1.0,0.06643046944198405,2276640.0,98577.55701061187
0.000764288079215159,0.03438526782303049,1.0,0.06648445002585507,2274660.0,98494.76932339881
0.0007702708629674899,0.03441419394310186,1.0,0.0665385184089901,2272680.0,98411.98163618574
0.0007823994240884316,0.03444316877152698,1.0,0.06659267480577137,2270700.0,98329.19394897268
0.0007933173731502679,0.03447219243143864,1.0,0.06664691943127962,2268720.0,98246.4062617596
0.0008039832808481785,0.03450126504638503,1.0,0.06670125250129696,2266740.0,98163.61857454655
0.0008123568725776563,0.034530386740331494,1.0,0.06675567423230974,2264760.0,98080.83088733348
0.0008224365637861026,0.03455955763766224,1.0,0.0668101848415114,2262780.0,97998.04320012042
0.0008312009938515735,0.03451456683834268,0.9977777777777778,0.06672115313173341,2265000.0,97907.72935952434
0.0008386643652547037,0.03454377596553316,0.9977777777777778,0.06677572873289708,2263020.0,97824.94167231128
0.0008460084790017982,0.034573034573034574,0.9977777777777778,0.0668303936890675,2261040.0,97742.15398509821
0.0008562380810125358,0.03460234278668311,0.9977777777777778,0.06688514821987189,2259060.0,97659.36629788515
0.0008667045656989682,0.034631700732742,0.9977777777777778,0.06693999254565784,2257080.0,97576.57861067208
0.0008740186406055395,0.03466110853790335,0.9977777777777778,0.06699492688749627,2255100.0,97493.79092345902
0.0008857288333635703,0.03469056632928996,0.9977777777777778,0.06704995146718434,2253120.0,97411.00323624595
0.0008924373128019491,0.03472007423445716,0.9977777777777778,0.06710506650724854,2251140.0,97328.21554903289
0.0009001471639541387,0.03474963238139463,0.9977777777777778,0.06716027223094757,2249160.0,97245.42786181982
0.0009081460777763844,0.034779240898528276,0.9977777777777778,0.06721556886227545,2247180.0,97162.64017460676
0.0009160167969947801,0.03480889991472207,0.9977777777777778,0.0672709566259645,2245200.0,97079.8524873937
0.0009216302878536137,0.03483860955927995,0.9977777777777778,0.06732643574748838,2243220.0,96997.06480018063
0.0009350373472942292,0.03486836996194766,0.9977777777777778,0.0673820064530652,2241240.0,96914.27711296757
0.0009438752205281306,0.03490089389817334,0.9977777777777778,0.06744273375891852,2239080.0,96823.96327237149
0.000952215658748699,0.03493076085265287,0.9977777777777778,0.067498496692724,2237100.0,96741.17558515842
0.000961281922991061,0.03496067896908822,0.9977777777777778,0.06755435191454148,2235120.0,96658.38789794536
0.0009706691438693736,0.03499064837905237,0.9977777777777778,0.06761029965366662,2233140.0,96575.6002107323
0.0009800194993922011,0.035020669214569845,0.9977777777777778,0.06766634014015523,2231160.0,96492.81252351923
0.0009863569472976252,0.035050741608118656,0.9977777777777778,0.06772247360482654,2229180.0,96410.02483630617
0.000993808389905758,0.03508086569263224,0.9977777777777778,0.06777870027926636,2227200.0,96327.2371490931
0.000999989315405484,0.03511104160150141,0.9977777777777778,0.06783502039583018,2225220.0,96244.44946188004
0.0010064694427750571,0.03514126946857635,0.9977777777777778,0.06789143418764648,2223240.0,96161.66177466697
0.0010137225664999005,0.03517154942816857,0.9977777777777778,0.06794794188861986,2221260.0,96078.8740874539
0.0010213763382439962,0.03520188161505292,0.9977777777777778,0.0680045437334343,2219280.0,95996.08640024083
0.0010324104565582815,0.035232266164469554,0.9977777777777778,0.06806123995755646,2217300.0,95913.29871302778
0.0010376481598613526,0.035265472824379515,0.9977777777777778,0.06812319830071309,2215140.0,95822.9848724317
0.001043345371663865,0.03529596729816838,0.9977777777777778,0.06818009262774277,2213160.0,95740.19718521864
