modelo,auc_pr_evaluacion,roc_auc_evaluacion,auc_pr_benchmark
segment_lgb,0.5490696968792773,0.9012136960670936,0.5591557534208087
hard_lgb,0.5470121824139732,0.8988425991218421,0.5549468213971267
lgb,0.5455141091605363,0.9027685715360242,0.5504005472558955
stack,0.5448581486579441,0.8686181156899431,0.5558013424316924
xgboost,0.490070034637242,0.8943171436675159,0.5386325912617426
catboost,0.4166295080882322,0.8657774024765181,0.4777552436628324
