tasa_revision,k,precision_at_k,recall_at_k
0.001,88,1.0,0.028543626337982485
0.005,442,0.9479638009049773,0.13590658449562115
0.01,885,0.9073446327683616,0.2604605903340902
0.02,1771,0.7391304347826086,0.42458644177748944
0.05,4429,0.41928200496726126,0.6023353876094713
