tasa_revision,k,precision_at_k,recall_at_k
0.001,88,0.9772727272727273,0.027894907557573793
0.005,442,0.9570135746606335,0.13720402205643853
0.01,885,0.903954802259887,0.25948751216347715
0.02,1771,0.7492941840767928,0.4304249108011677
0.05,4429,0.42041092797471213,0.6039571845604931
