threshold,precision,recall,f1,costo_q,alertas_por_100k
0.006595006648348626,0.03386769022352676,1.0,0.06551648831622625,2310660.0,100000.0
0.007209282890397274,0.03389064618165386,1.0,0.06555944055944056,2309040.0,99932.26461955295
0.007655803114012059,0.033913633280578795,1.0,0.0656024491581019,2307420.0,99864.52923910589
0.008089458281657887,0.033936651583710405,1.0,0.06564551422319474,2305800.0,99796.79385865884
0.008385783451894899,0.03395970115462984,1.0,0.06568863586599519,2304180.0,99729.05847821178
0.008598835528551195,0.03390726476363087,0.9977777777777778,0.06558574349985392,2306940.0,99661.32309776473
0.008763583992827345,0.033930325700899266,0.9977777777777778,0.06562888255499524,2305320.0,99593.58771731767
0.008877542614704602,0.03395341802782819,0.9977777777777778,0.06567207839695773,2303700.0,99525.85233687062
0.009003413673130766,0.03397397094430993,0.9977777777777778,0.06571052246451047,2302260.0,99465.64310980658
0.009218074625957619,0.033997122737942004,0.9977777777777778,0.06575382587683971,2300640.0,99397.90772935952
0.00935555550134724,0.034020306106985906,0.9977777777777778,0.06579718640093786,2299020.0,99330.17234891247
0.009465514019171882,0.03404352111608158,0.9977777777777778,0.06584060414986435,2297400.0,99262.43696846542
0.0095544672802468,0.03406676783004552,0.9977777777777778,0.06588407923697726,2295780.0,99194.70158801836
0.009683820903074233,0.034090046313871386,0.9977777777777778,0.06592761177593422,2294160.0,99126.96620757131
0.009801828461431317,0.03411335663273059,0.9977777777777778,0.06597120188069351,2292540.0,99059.23082712425
0.009885362771357105,0.03413410369469363,0.9977777777777778,0.06600999705968832,2291100.0,98999.02160006021
0.010063124573507729,0.034157474324838344,0.9977777777777778,0.0660536962118426,2289480.0,98931.28621961316
0.01013136602062806,0.03418087697929354,0.9977777777777778,0.06609745326070955,2287860.0,98863.5508391661
0.010201573559761324,0.03420431172392778,0.9977777777777778,0.06614126832142594,2286240.0,98795.81545871905
0.010227280373464282,0.034227778624790366,0.9977777777777778,0.06618514150943396,2284620.0,98728.08007827199
0.010274021275771155,0.034251277748111986,0.9977777777777778,0.06622907294048233,2283000.0,98660.34469782494
0.010304830346068418,0.03427480916030534,0.9977777777777778,0.0662730627306273,2281380.0,98592.6093173779
0.010390005556478798,0.03429575313168347,0.9977777777777778,0.06631221385319747,2279940.0,98532.40009031384
0.010450761842674069,0.034319345715814416,0.9977777777777778,0.0663563141949309,2278320.0,98464.66470986679
0.010495078811318127,0.034342970781704146,0.9977777777777778,0.06640047323277137,2276700.0,98396.92932941974
0.010556821501936774,0.034366628396479144,0.9977777777777778,0.06644469108398077,2275080.0,98329.19394897268
0.010612878114369305,0.03439031862745098,0.9977777777777778,0.06648896786613356,2273460.0,98261.45856852563
0.010641506116283743,0.03441404154211696,0.9977777777777778,0.06653330369711788,2271840.0,98193.72318807857
0.010685812815733973,0.03443779720816076,0.9977777777777778,0.06657769869513641,2270220.0,98125.98780763152
0.010754162798746532,0.03446158569345307,0.9977777777777778,0.06662215297870762,2268600.0,98058.25242718447
0.010794059190849753,0.034482758620689655,0.9977777777777778,0.06666171776408582,2267160.0,97998.04320012042
0.010840018842378571,0.03450660928373809,0.9977777777777778,0.06670628435596494,2265540.0,97930.30781967337
0.010885026538006921,0.034530492963162344,0.9977777777777778,0.06675091057756634,2263920.0,97862.57243922631
0.010917327736924649,0.03455440972756657,0.9977777777777778,0.06679559654864624,2262300.0,97794.83705877926
0.010951542265996784,0.03457835964574509,0.9977777777777778,0.06684034238928173,2260680.0,97727.10167833221
0.010996297315416171,0.03460234278668311,0.9977777777777778,0.06688514821987189,2259060.0,97659.36629788515
0.011018309111559809,0.03462635921955734,0.9977777777777778,0.06693001416113885,2257440.0,97591.6309174381
0.011043291831995981,0.034647735164750365,0.9977777777777778,0.06696994555895294,2256000.0,97531.42169037406
0.011083895581842489,0.03467181467181467,0.9977777777777778,0.06701492537313433,2254380.0,97463.686309927
0.01110895783872923,0.03469592767174098,0.9977777777777778,0.06705996564856993,2252760.0,97395.95092947995
0.011165029125549947,0.03472007423445716,0.9977777777777778,0.06710506650724854,2251140.0,97328.21554903289
0.011188344842755268,0.03474425443008589,0.9977777777777778,0.06715022807148732,2249520.0,97260.48016858584
0.01120823735066351,0.03476846832894533,0.9977777777777778,0.06719545046393295,2247900.0,97192.74478813878
0.011223567547743946,0.03479271600154979,0.9977777777777778,0.06724073380756271,2246280.0,97125.00940769173
0.0112374362200504,0.03481429789873614,0.9977777777777778,0.06728103693713944,2244840.0,97064.80018062769
0.011256342942066743,0.03483860955927995,0.9977777777777778,0.06732643574748838,2243220.0,96997.06480018063
0.011265006006789948,0.03486295519838497,0.9977777777777778,0.0673718958661565,2241600.0,96929.32941973358
0.011280377196602402,0.034887334887334885,0.9977777777777778,0.06741741741741741,2239980.0,96861.59403928653
0.01130211143644202,0.03491174869761294,0.9977777777777778,0.06746300052588085,2238360.0,96793.85865883947
0.0113190618086049,0.03493619670090258,0.9977777777777778,0.06750864531649375,2236740.0,96726.12327839242
