modelo,threshold,precision,recall,f1,cost_q,alertas_por_100k
A,0.00038601095999283436,0.034093474825016935,1.0,0.06593886462882095,1540080.0,100000.0
A,0.0005219527620944983,0.03418996943280878,1.0,0.06611932129173509,1535580.0,99717.76924813728
A,0.0005787728535554643,0.034267559287416316,1.0,0.06626439934174438,1531980.0,99491.9846466471
A,0.0005986322408331508,0.034287011807447774,1.0,0.06630076838638858,1531080.0,99435.53849627456
A,0.0006541035406368932,0.034384606626437435,1.0,0.06648321408915794,1526580.0,99153.30774441184
A,0.0006634599723480075,0.03440419229892914,1.0,0.06651982378854625,1525680.0,99096.86159403929
A,0.0007067268820884892,0.034482758620689655,1.0,0.06666666666666667,1522080.0,98871.07699254912
A,0.0007283004088683244,0.034541919249685464,1.0,0.06677722498618022,1519380.0,98701.73854143148
A,0.0007412917350710734,0.03458147257528913,1.0,0.06685113447703375,1517580.0,98588.84624068638
A,0.000779965005632797,0.034680753330271014,1.0,0.06703662597114317,1513080.0,98306.61548882366
A,0.0007802253801737531,0.034680753330271014,1.0,0.06703662597114317,1513080.0,98306.61548882366
A,0.0008177083615744771,0.034780605781411955,1.0,0.06722314969393434,1508580.0,98024.38473696093
A,0.0008288557886546375,0.03482472324723247,1.0,0.06730554936483174,1506600.0,97900.20320614135
A,0.0008463975173202015,0.03488103488103488,1.0,0.06741071428571428,1504080.0,97742.15398509821
A,0.0008691848362104812,0.034965844621975224,1.0,0.06756907931535967,1500300.0,97505.08015353353
A,0.0008726415071964415,0.03498204563882775,1.0,0.06759932848349189,1499580.0,97459.92323323549
A,0.000903663402430805,0.03508364312267658,1.0,0.06778900112233445,1495080.0,97177.69248137277
A,0.0009099438562907956,0.03510811439200186,1.0,0.06783468104222821,1494000.0,97109.95710092572
A,0.0009301005014361386,0.03506932308050798,0.9966887417218543,0.06775464265616207,1494960.0,96895.46172951005
A,0.0009461239836714245,0.03513481965682269,0.9966887417218543,0.06787687450670876,1492080.0,96714.8340483179
A,0.0009500909549749885,0.035171769104931055,0.9966887417218543,0.06794582392776523,1490460.0,96613.23097764733
A,0.0009754376956002297,0.03527481542247744,0.9966887417218543,0.06813808715336729,1485960.0,96331.0002257846
A,0.0009754973276195228,0.035283085218614466,0.9966887417218543,0.0681535152269897,1485600.0,96308.42176563559
A,0.0010018994262265767,0.03537846732487071,0.9966887417218543,0.06833144154370036,1481460.0,96048.76947392189
A,0.001012348752333261,0.03542843691148776,0.9966887417218543,0.06842464196408275,1479300.0,95913.29871302778
A,0.001025705660924943,0.03548273016621478,0.9966887417218543,0.06852589641434263,1476960.0,95766.53872205915
A,0.0010469987096302777,0.03557499113579955,0.9966887417218543,0.06869793449731827,1473000.0,95518.17566041996
A,0.0010474904040212339,0.03558760936391582,0.9966887417218543,0.06872146118721462,1472460.0,95484.30797019643
A,0.001074838668697281,0.03569311039962054,0.9966887417218543,0.06891814539210074,1467960.0,95202.07721833371
A,0.0010786542516665765,0.03572276287680987,0.9966887417218543,0.06897341888175985,1466700.0,95123.05260781215
A,0.0011106710450777693,0.03579923882017127,0.9966887417218543,0.06911595866819749,1463460.0,94919.84646647099
A,0.0011264101699113471,0.03587176736980098,0.9966887417218543,0.0692511215920856,1460400.0,94727.92955520433
A,0.0011315975894069493,0.035906000238578074,0.9966887417218543,0.06931491076568796,1458960.0,94637.61571460826
A,0.001150544840534265,0.036013400335008376,0.9966887417218543,0.0695150115473441,1454460.0,94355.38496274553
A,0.0011515917237482686,0.036026331538001194,0.9966887417218543,0.06953910130530205,1453920.0,94321.51727252202
A,0.001177927084620178,0.03612144485779431,0.9966887417218543,0.06971627099015633,1449960.0,94073.15421088281
A,0.0011846718866779053,0.03617788461538462,0.9966887417218543,0.06982138714915334,1447620.0,93926.3942199142
A,0.001192115218222705,0.036230139624458355,0.9966887417218543,0.06991869918699188,1445460.0,93790.9234590201
A,0.0012161469462381863,0.036330718165359085,0.9966887417218543,0.07010597414696636,1441320.0,93531.27116730639
A,0.0012180921417528077,0.03633949052275746,0.9966887417218543,0.0701223063482819,1440960.0,93508.69270715737
A,0.0012403543015750867,0.03644950351174619,0.9966887417218543,0.07032710280373833,1436460.0,93226.46195529465
A,0.0012466892140831592,0.03648484848484849,0.9966887417218543,0.07039289055191769,1435020.0,93136.14811469858
A,0.0012789877775570677,0.036560184622859225,0.9966887417218543,0.07053309900410076,1431960.0,92944.23120343193
A,0.0012937466560070192,0.03664029214850883,0.9966887417218543,0.07068216508160151,1428720.0,92741.02506209076
A,0.0013021698359631869,0.03667153996101365,0.9966887417218543,0.07074030552291422,1427460.0,92662.0004515692
A,0.001324124718504277,0.036783575705731396,0.9966887417218543,0.07094873305833824,1422960.0,92379.76969970648
A,0.0013284258444330294,0.036801564983494316,0.9966887417218543,0.07098219549581417,1422240.0,92334.61277940845
A,0.0013475546385164786,0.03689629811228242,0.9966887417218543,0.07115839243498819,1418460.0,92097.53894784376
A,0.00136528972144931,0.036959724950884086,0.9966887417218543,0.07127634383139948,1415940.0,91939.48972680063
A,0.001374790030650009,0.03700971351284889,0.9966887417218543,0.07136929460580912,1413960.0,91815.30819598104
A,0.0013947787736338095,0.03711925021580959,0.9966887417218543,0.07157294019736059,1409640.0,91544.36667419282
A,0.0013961035100229706,0.037123828317710904,0.9966887417218543,0.07158145065398336,1409460.0,91533.07744411832
A,0.0014143291697454542,0.03723864901645429,0.9966887417218543,0.07179487179487179,1404960.0,91250.84669225558
A,0.001421601108962489,0.03728015853356453,0.9966887417218543,0.07187201528175739,1403340.0,91149.243621585
A,0.0014294172031653638,0.03735418217920079,0.9966887417218543,0.07200956937799043,1400460.0,90968.61594039286
A,0.0014487210418458528,0.03744712615078378,0.9966887417218543,0.07218225419664269,1396860.0,90742.83133890269
A,0.0014569085118959903,0.03747043445786132,0.9966887417218543,0.0722255548890222,1395960.0,90686.38518853014
A,0.0014890109684966765,0.037587412587412584,0.9966887417218543,0.0724428399518652,1391460.0,90404.15443666742
A,0.0014931497786721218,0.03761089591403224,0.9966887417218543,0.07248645394340758,1390560.0,90347.70828629487
A,0.001517146302274918,0.037705123387197795,0.9966887417218543,0.07266143633071817,1386960.0,90121.9236848047
A,0.0015326992653169526,0.03777610441767068,0.9966887417218543,0.07279322853688028,1384260.0,89952.58523368706
A,0.0015379601133485644,0.03782357376225182,0.9966887417218543,0.07288135593220339,1382460.0,89839.69293294197
A,0.001564516566662205,0.037942770704651456,0.9966887417218543,0.07310261080752885,1377960.0,89557.46218107925
A,0.0015656769306688783,0.037942770704651456,0.9966887417218543,0.07310261080752885,1377960.0,89557.46218107925
A,0.0015876684446480536,0.03806272129489125,0.9966887417218543,0.0733252131546894,1373460.0,89275.23142921652
A,0.0015981614968882652,0.0381109141554824,0.9966887417218543,0.07341463414634146,1371660.0,89162.33912847143
A,0.001612761704928211,0.03818343270328555,0.9966887417218543,0.07354917532070862,1368960.0,88993.0006773538
A,0.0016284884776395687,0.03828542355634699,0.9966887417218543,0.07373836354728075,1365180.0,88755.92684578912
A,0.0016381899258842445,0.038304912191397304,0.9966887417218543,0.07377450980392157,1364460.0,88710.76992549108
A,0.0016584391954544235,0.03842716711349419,0.9966887417218543,0.07400122925629994,1359960.0,88428.53917362836
A,0.0016618190120486146,0.03845662450491887,0.9966887417218543,0.07405584942797393,1358880.0,88360.8037931813
A,0.0016811889506482603,0.038550204918032786,0.9966887417218543,0.07422934648581998,1355460.0,88146.30842176564
A,0.0016935910252007403,0.03862936344969199,0.9966887417218543,0.07437608104768964,1352580.0,87965.68074057349
A,0.0016996495388772758,0.03867403314917127,0.9966887417218543,0.07445887445887446,1350960.0,87864.07766990292
A,0.0017264855789344076,0.03879865944831142,0.9966887417218543,0.07468982630272952,1346460.0,87581.84691804019
A,0.0017266855730336636,0.03880366120923037,0.9966887417218543,0.07469909418041941,1346280.0,87570.55768796567
A,0.0017483931163689809,0.038924091555670504,0.9966887417218543,0.07492221530802738,1341960.0,87299.61616617747
A,0.001755916821684612,0.03897953897953898,0.9966887417218543,0.07502492522432702,1339980.0,87175.43463535787
