n_entrenamiento,auc_pr_validacion,roc_auc_validacion,mejor_iteracion
180000,0.46610262638922473,0.8630145283089015,500
300000,0.46818641691330737,0.8620932615109361,441
413378,0.4664016950878129,0.8626724099281825,417
