tasa_revision,k,precision_at_k,recall_at_k
0.001,88,0.8295454545454546,0.02367823548491729
0.005,442,0.8619909502262444,0.12358092766785599
0.01,885,0.8451977401129943,0.2426208238728511
0.02,1771,0.6307171089779785,0.36230943885825495
