fold,modelo,auc_pr,roc_auc,segundos,variables,componentes_pca
F1,LightGBM_corr_pruned,0.4429979046277288,0.8533127600633607,21.747649099997943,128,
F1,CatBoost_nativo,0.4379743291416759,0.8434961980506162,340.5982707000221,128,
F1,LightGBM_PCA95,0.41749751085732467,0.8514184293542111,25.40869870001916,65,32.0
F2,LightGBM_corr_pruned,0.5553171330491025,0.8801321318854071,25.736343500000658,128,
F2,CatBoost_nativo,0.5401405715727869,0.8723786140521962,388.12144369998714,128,
F2,LightGBM_PCA95,0.5347442693930908,0.8742312963110318,34.39617639998323,66,33.0
F3,LightGBM_corr_pruned,0.4197503687060044,0.8588256634359126,26.827546100015752,128,
F3,CatBoost_nativo,0.3958442477267945,0.8515427134170115,466.94194399999105,128,
F3,LightGBM_PCA95,0.39596110610196056,0.8530372681480693,40.326930400013225,66,33.0
