auc_pr,roc_auc,brier,threshold,precision,recall,f1,tn,fp,fn,tp,costo_q,alertas_por_100k
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03656323680833558,0.15309446254071662,0.6952662721893491,0.25093432995194875,73839,11700,927,2115,5999400.0,15595.895282284011
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03667068059302669,0.15339340212178462,0.6939513477975017,0.2512497024517972,73888,11651,931,2111,6007380.0,15536.063038349082
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03644787182611695,0.15250937409864437,0.6952662721893491,0.25014784151389713,73786,11753,927,2115,6008940.0,15655.72752621894
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.036325313617309965,0.15207240859133683,0.6959237343852729,0.2496020751046395,73735,11804,925,2117,6009720.0,15715.55977015387
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03621608932637686,0.15163875769285817,0.6965811965811965,0.249059708509638,73684,11855,923,2119,6010500.0,15775.392014088799
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.036104964506335185,0.1512083838311827,0.6972386587771203,0.2485207100591716,73633,11906,921,2121,6011280.0,15835.22425802373
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03718038761573551,0.15506679459738726,0.690664036817883,0.2532698450967392,74091,11448,941,2101,6012840.0,15295.60515234644
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03690701948754023,0.15415598681801537,0.6919789612097305,0.25214110319219024,73989,11550,937,2105,6014400.0,15415.2696402163
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03678846324764507,0.15370586518821128,0.6926364234056541,0.2515820895522388,73938,11601,935,2107,6015180.0,15475.101884151229
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03594191156707986,0.1506995241815212,0.6975673898750822,0.24785376394323425,73580,11959,920,2122,6016620.0,15896.185412221583
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.037035898437884525,0.15453609763270107,0.6909927679158449,0.2525835135784667,74039,11500,940,2102,6018000.0,15355.437396281368
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.037320410972571265,0.15537937166567872,0.6893491124260355,0.25359777482162293,74140,11399,945,2097,6020820.0,15235.77290841151
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03583204739994941,0.1502051790009905,0.6978961209730441,0.24720540288775034,73528,12011,919,2123,6021780.0,15956.017656156513
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.035709498394254004,0.14978501444984846,0.6985535831689678,0.2466771141679726,73477,12062,917,2125,6022560.0,16015.849900091442
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04004240170790769,0.16458433445458914,0.6755424063116371,0.2646831530139104,75108,10431,987,2055,6022980.0,14095.573542859078
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03519105427975765,0.148125,0.7011834319526628,0.24458204334365324,73272,12267,909,2133,6025860.0,16256.307786094085
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04112242582652808,0.16833154462148106,0.6702827087442472,0.2690861101946552,75465,10074,1003,2039,6025920.0,13674.490014788724
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03507884817506502,0.14772019649899676,0.7018408941485864,0.2440697342097742,73221,12318,907,2135,6026640.0,16316.140030029013
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03373799145068404,0.14319793254257504,0.710387902695595,0.2383499696685601,72609,12930,881,2161,6027600.0,17036.384777774012
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.040799088008250516,0.1671849427168576,0.6715976331360947,0.267723758354082,75362,10177,999,2043,6027660.0,13795.283412921508
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03557878685041909,0.14929775280898877,0.6988823142669297,0.24603633838676078,73425,12114,916,2126,6027720.0,16075.68214402637
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04371036924651206,0.17662063506025155,0.6600920447074293,0.2786760113801957,76178,9361,1034,2008,6027780.0,12834.580779173863
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.037588907012286184,0.15617297781761147,0.6873767258382643,0.2545188972064999,74241,11298,951,2091,6027840.0,15114.979510278728
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04168076756979928,0.16998494227873515,0.6679815910585142,0.27100560149373165,75617,9922,1010,2032,6027960.0,13494.993282983936
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04252429542869291,0.17291238877481177,0.6643655489809336,0.2744059742023082,75872,9667,1021,2021,6028260.0,13194.703153046365
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0434710204873787,0.1759761863071266,0.6607495069033531,0.27793141592920356,76127,9412,1032,2010,6028560.0,12894.413023108795
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03745226628038322,0.15569441344937887,0.688034188034188,0.25392781316348195,74189,11350,949,2093,6028800.0,15175.94066447658
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03972130442622048,0.16343710292249047,0.6765285996055227,0.2632723551234489,75005,10534,984,2058,6028920.0,14215.238030728939
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03469091550037871,0.14652340542020256,0.7038132807363576,0.24255126316981987,73068,12471,901,2141,6028980.0,16495.6367618338
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04048927402217925,0.1660717183190005,0.6729125575279421,0.2663977095262884,75260,10279,995,2047,6029220.0,13914.947900791367
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03531908362391977,0.14847344207444585,0.7001972386587771,0.24499654934437542,73323,12216,912,2130,6029280.0,16195.346631896233
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.041292917683110233,0.16882255389718076,0.6692965154503616,0.26963316117070585,75515,10024,1006,2036,6029520.0,13614.657770853793
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03460079697218117,0.14613024207296282,0.7044707429322814,0.24205116620545547,73017,12522,899,2143,6029760.0,16555.46900576873
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04217736684677301,0.17169747329150414,0.665680473372781,0.27298463197627393,75770,9769,1017,2025,6029820.0,13314.367640916225
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04035979511407771,0.16552225543258745,0.6735700197238659,0.2657415213021205,75209,10330,993,2049,6030000.0,13974.780144726295
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.038679647707992336,0.15990435050910212,0.6814595660749507,0.25902786455079346,74648,10891,969,2073,6030180.0,14635.19264853637
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04404429855231584,0.17783894166740655,0.65844838921762,0.2800419433764418,76279,9260,1039,2003,6030600.0,12714.916291304004
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.037844776572018464,0.15704283670857486,0.685733070348455,0.25555895865237366,74342,11197,956,2086,6030660.0,14995.31502240887
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04019070734047363,0.16497747747747749,0.6742274819197897,0.26508982809874626,75158,10381,991,2051,6030780.0,14034.612388661224
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04096563504852123,0.167666639270157,0.6706114398422091,0.2682622131632586,75412,10127,1002,2040,6031260.0,13735.451168986576
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03912816005821598,0.16134322530261616,0.6791584483892176,0.2607433583643592,74800,10739,976,2066,6032220.0,14455.695916731578
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.039892493535703295,0.16388866735784352,0.6755424063116371,0.2637828123997176,75055,10484,987,2055,6032520.0,14155.405786794006
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.040637001757479,0.16654444716043348,0.6719263642340565,0.2669278485145282,75310,10229,998,2044,6032820.0,13855.115656856437
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03545825739485154,0.14881410480654866,0.6992110453648915,0.245399480819152,73373,12166,915,2127,6032880.0,16135.5143879613
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.038983439329709865,0.16083372219629802,0.6798159105851413,0.260125786163522,74749,10790,974,2068,6033000.0,14515.528160666508
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03957694472349059,0.16283115856069594,0.6768573307034845,0.2625103588959011,74953,10586,983,2059,6034080.0,14275.070274663867
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.033930200073481645,0.14382007474639616,0.7084155161078238,0.23909907910795516,72710,12829,887,2155,6034620.0,16915.59137964123
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.043092762343652925,0.1746031746031746,0.6617357001972387,0.27630224418365246,76023,9516,1029,2013,6034680.0,13015.206421241577
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03447051754859304,0.14566206943406482,0.7047994740302432,0.2414278475311075,72964,12575,898,2144,6035100.0,16616.43015996658
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0419717371590488,0.17099932478055369,0.666009204470743,0.27212894560107453,75717,9822,1016,2026,6035160.0,13375.328795114077
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03384286828156906,0.14343662721106532,0.7090729783037475,0.23860619469026548,72658,12881,885,2157,6035580.0,16976.552533839083
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04390250315882001,0.17709437963944857,0.6587771203155819,0.2791475135812787,76227,9312,1038,2004,6035760.0,12774.748535238934
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.037714135019480524,0.15649370125974804,0.6860618014464168,0.25485407253632925,74290,11249,955,2087,6035820.0,15055.1472663438
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03494691577956461,0.1471804770439818,0.7018408941485864,0.243332573512651,73168,12371,907,2135,6036180.0,16375.972273963944
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03478788992004993,0.14678205920736315,0.7024983563445102,0.24282711209590363,73117,12422,905,2137,6036960.0,16435.804517898872
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03363089590596447,0.14269677760169044,0.710387902695595,0.23765533927196744,72556,12983,881,2161,6037140.0,17096.217021708944
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0341216225682279,0.14450867052023122,0.7067718606180144,0.23995535714285715,72811,12728,892,2150,6037440.0,16795.926891771374
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04150183756939919,0.16923461314233365,0.6679815910585142,0.27005116619044456,75564,9975,1010,2032,6037500.0,13554.825526918865
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04233262073806723,0.1721318456690231,0.6643655489809336,0.2734221741189204,75819,9720,1021,2021,6037800.0,13254.535396981293
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04324964829598557,0.17516339869281045,0.6607495069033531,0.2769167183302335,76074,9465,1032,2010,6038100.0,12954.245267043723
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03798486455991065,0.15736961451247167,0.6844181459566075,0.2558997050147493,74391,11148,960,2082,6038640.0,14935.482778473937
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03853353155706779,0.15925328416685872,0.6814595660749507,0.2581729871100318,74595,10944,969,2073,6039720.0,14695.024892471298
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03927849495337765,0.1617128068386793,0.6778435239973701,0.26112834800227946,74850,10689,980,2062,6040020.0,14394.734762533726
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03435790818512675,0.14520714865962633,0.7051282051282052,0.24082182553048165,72912,12627,897,2145,6040260.0,16676.262403901514
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.041813716741186294,0.17032182169565582,0.6663379355687048,0.2712975975373084,75665,9874,1015,2027,6040320.0,13435.161039049006
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.034243004465893116,0.144822934232715,0.7057856673241288,0.24033133710191973,72861,12678,895,2147,6041040.0,16736.094647836446
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.038132209495526787,0.1577749108294756,0.6834319526627219,0.25636599050496334,74441,11098,963,2079,6042240.0,14875.650534539009
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03351957401346735,0.14226492070803448,0.7107166337935569,0.23707440100882723,72504,13035,880,2162,6042300.0,17156.049265643873
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.038842359142718566,0.16017349546897994,0.6798159105851413,0.25926158089387574,74696,10843,974,2068,6042540.0,14575.360404601439
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.033422436503329746,0.14190163934426228,0.7113740959894806,0.23660616663022085,72453,13086,878,2164,6043080.0,17215.881509578805
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03941622877799099,0.16215151992439755,0.6768573307034845,0.2616264294790343,74900,10639,983,2059,6043620.0,14334.902518598796
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.033319511385256045,0.141540874338365,0.7120315581854043,0.23614063777596075,72402,13137,876,2166,6043860.0,17275.713753513734
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.042823957039120876,0.17380417889829045,0.6617357001972387,0.275300875273523,75970,9569,1029,2013,6044220.0,13075.038665176506
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04269101636203631,0.17318435754189945,0.6623931623931624,0.2745792736935341,75919,9620,1027,2015,6045000.0,13134.870909111434
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0331436779933082,0.14081765087605452,0.7133464825772519,0.23520485584218512,72299,13240,872,2170,6045600.0,17396.507151646514
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.034044151020741806,0.14399571361596677,0.7067718606180144,0.2392477605296834,72758,12781,892,2150,6046980.0,16855.759135706303
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04421301553929401,0.17814451382694024,0.6564760026298487,0.2802413696323323,76326,9213,1045,1997,6047340.0,12655.084047369075
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03322326110368953,0.1411082893794361,0.7123602892833663,0.23555628023262135,72349,13190,875,2167,6049200.0,17336.674907711586
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0383633054486277,0.15860749808722266,0.6814595660749507,0.25732373386295926,74542,10997,969,2073,6049260.0,14754.857136406226
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.030175921464721922,0.13085149903570803,0.7360289283366206,0.22220016870937329,70667,14872,803,2239,6049560.0,19316.783508878878
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.0330601535746189,0.14039966371338033,0.7136752136752137,0.23463928667927586,72247,13292,871,2171,6050760.0,17456.339395581443
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.046529010044160976,0.1863412788497919,0.6476002629848784,0.28940796239165567,76937,8602,1072,1970,6050760.0,11934.839299624073
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.029386526049104144,0.1280961287762852,0.7429322813938198,0.2185158327290307,70156,15383,782,2260,6053340.0,19917.36376875402
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02968727950374065,0.1291451520367183,0.739973701512163,0.21991012114107072,70360,15179,791,2251,6054420.0,19676.90588275138
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03826743017314544,0.15803108808290156,0.6817882971729126,0.2565879005319807,74489,11050,968,2074,6054600.0,14815.81829060408
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.030100941451265868,0.13050570962479607,0.7363576594345825,0.22171632188458873,70615,14924,802,2240,6054720.0,19376.61575281381
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02961514870733643,0.1288680432420065,0.7406311637080868,0.21953714981729597,70309,15230,789,2253,6055200.0,19736.73812668631
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.032960378567922485,0.139984532095901,0.7140039447731755,0.23407694794697703,72195,13344,870,2172,6055920.0,17516.171639516375
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.029542618056250813,0.1285926094890511,0.7412886259040106,0.2191660997181456,70258,15281,787,2255,6055980.0,19796.570370621237
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.029946367894345797,0.12993630573248408,0.73767258382643,0.22095313115399765,70513,15026,798,2244,6056280.0,19496.28024068367
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.030341811471547804,0.1313143193178477,0.7340565417488495,0.22277647528308475,70767,14772,809,2233,6056760.0,19197.11902100902
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02984545367895222,0.1296467328561533,0.7383300460223537,0.22056368457232642,70461,15078,796,2246,6057240.0,19557.241394881523
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03275147509622062,0.13929074382281398,0.715318869165023,0.23317616802400343,72093,13446,866,2176,6057480.0,17635.836127386236
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.030264573384229516,0.13102356665494197,0.7347140039447732,0.22238805970149253,70716,14823,807,2235,6057540.0,19256.95126494395
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.028885815096348116,0.1264892550940875,0.7468770545693623,0.2163397448105123,69849,15690,770,2272,6058200.0,20277.486142626523
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.029314456330134762,0.12776898734177214,0.7432610124917817,0.21805381425402642,70104,15435,781,2261,6058500.0,19977.196012688953
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02880512279885565,0.12622814321398834,0.747534516765286,0.21598518307451203,69798,15741,768,2274,6058980.0,20337.318386561452
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04443404293670702,0.1785586231624238,0.6548323471400395,0.28060290181715736,76375,9164,1050,1992,6059520.0,12594.122893171223
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03002667568731316,0.1301620491374804,0.7366863905325444,0.22123500666370502,70563,14976,801,2241,6059880.0,19436.44799674874
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04632072557702191,0.18541176470588236,0.6476002629848784,0.2882856515694739,76884,8655,1072,1970,6060300.0,11994.671543559003
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.029464727671878556,0.12826198192051852,0.7416173570019724,0.21870001454122437,70206,15333,786,2256,6061140.0,19856.40261455617
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03262929892801048,0.1388747129369737,0.7156476002629849,0.23261032161555723,72040,13499,865,2177,6062820.0,17696.797281584088
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04675268400480255,0.18682258984597833,0.645956607495069,0.28982300884955753,76986,8553,1077,1965,6062940.0,11873.87814542622
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03051658750917525,0.1317907444668008,0.7320841551610783,0.22337011033099297,70868,14671,815,2227,6063780.0,19076.325622876237
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03043230046514294,0.1314966668633119,0.7327416173570019,0.2229780423148102,70817,14722,813,2229,6064560.0,19136.15786681117
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.031424713966663055,0.13472230708132218,0.7248520710059172,0.22721417898912877,71377,14162,837,2205,6064560.0,18476.874273264017
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03186945366348703,0.13626482827153594,0.7212360289283366,0.2292221699838061,71632,13907,848,2194,6064860.0,18176.584143326447
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03284823624307432,0.13950799666002955,0.7140039447731755,0.2334103487184998,72142,13397,870,2172,6065460.0,17576.003883451303
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04609048444067758,0.18458512830117998,0.6479289940828402,0.2873177842565598,76832,8707,1071,1971,6065460.0,12054.503787493932
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04498350857835681,0.18041283986541784,0.6522024983563445,0.28264121376166396,76526,9013,1058,1984,6065940.0,12414.626161366434
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.031244557959449956,0.1340982213318764,0.7261669953977646,0.2263899564437612,71275,14264,833,2209,6066120.0,18596.538761133877
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02976610525017614,0.1292513092018185,0.7383300460223537,0.21999118468093443,70408,15131,796,2246,6066780.0,19617.07363881645
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03115932813821947,0.13378918068498125,0.7268244575936884,0.2259811937857727,71224,14315,831,2211,6066900.0,18656.371005068806
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.04572075937077798,0.18314169139465875,0.6492439184746877,0.2856936207145957,76730,8809,1067,1975,6067020.0,12174.168275363792
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.02922986531207732,0.1273874584483633,0.7432610124917817,0.21749795584627965,70051,15488,781,2261,6068040.0,20037.028256623882
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.03150152630066461,0.13497609415226186,0.7238658777120316,0.22752634841909486,71427,14112,840,2202,6068160.0,18417.042029329088
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.028733655167706106,0.1258578702678769,0.747534516765286,0.21544291804831833,69745,15794,768,2274,6068520.0,20397.150630496384
0.4666049518546686,0.8617838821173872,0.023585539127281233,0.045362795128950285,0.18170966853365164,0.6505588428665352,0.28407378166941794,76627,8912,1063,1979,6068760.0,12294.961673496573
