version,modelo,estado_test,auc_pr,precision,recall,f1,tn,fp,fn,tp,cost_q,cost_per_decision_q,roc_auc,brier,threshold,costo_q,alertas_por_100k,delta_auc_pr_vs_A_v1,delta_costo_q_vs_A_v1,reduccion_costo_relativa_vs_A_v1
V1,A,benchmark histórico observado,0.42850380972380175,0.13392319730347899,0.7216996432046707,0.22592272934964716,71109,14389,858,2225,6193620.0,69.92041182646392,,,,,,0.0,,
V1,B,benchmark histórico observado,0.41213824825180356,0.1535982814178303,0.6493674991891015,0.2484333312651238,74466,11032,1081,2002,6525960.0,73.67223219426288,,,,,,-0.01636556147199819,,
V1,C,benchmark histórico observado,0.39162161116641714,0.13613942781979613,0.6714239377229971,0.2263779527559055,72363,13135,1013,2070,6618900.0,74.7214413926237,,,,,,-0.036882198557384616,,
V2,LightGBM_depured,benchmark histórico reutilizado,0.45357892461054694,0.1488221962777282,0.7028867985728187,0.2456359102244389,73104,12394,916,2167,,,0.8557043958220409,0.024258156040421617,0.03656323680833558,6078120.0,16438.06233842472,0.025075114886745187,-115500.0,0.018648221879934514
V2,Ensamble_calibrado,benchmark histórico reutilizado,0.4379048133011567,0.14121639258679197,0.7019137204022057,0.23512794045743468,72338,13160,919,2164,,,0.8494959113333799,0.024851529215459404,0.02561128401055442,6228600.0,17299.42086903512,0.00940100357735496,34980.0,-0.005647747197923024
