modelo,threshold,precision,recall,f1,cost_q,alertas_por_100k
A,0.00035640406151983897,0.034093474825016935,1.0,0.06593886462882095,1540080.0,100000.0
A,0.0005745452749583813,0.03420545928191188,1.0,0.0661482860584821,1534860.0,99672.61232783923
A,0.0006455745555388696,0.03431818181818182,1.0,0.06635904196879806,1529640.0,99345.22465567848
A,0.0007035448796979002,0.03443164975487402,1.0,0.06657114515595725,1524420.0,99017.83698351773
A,0.0007080999849109666,0.03443950279393317,1.0,0.06658582295226545,1524060.0,98995.2585233687
A,0.0007382274967810072,0.03454587051018074,1.0,0.06678460858027423,1519200.0,98690.44931135696
A,0.0007683734461289298,0.03461318051575931,1.0,0.06691037997119752,1516140.0,98498.5324000903
A,0.0007795416669522454,0.03466085160105589,1.0,0.06699944536882974,1513980.0,98363.06163919621
A,0.0008163851679711986,0.03477660064486412,1.0,0.06721566881816159,1508760.0,98035.67396703546
A,0.0008189462343211881,0.03478861882271628,1.0,0.06723811644216854,1508220.0,98001.80627681193
A,0.0008440401380657635,0.03477758521086077,0.9966887417218543,0.0672100033493357,1507920.0,97708.28629487469
A,0.0008679589409762051,0.03485006367951835,0.9966887417218543,0.06734534064212999,1504680.0,97505.08015353353
A,0.0008775490377043114,0.034894504984929284,0.9966887417218543,0.06742831541218638,1502700.0,97380.89862271392
A,0.0009076331028216807,0.03501221356287077,0.9966887417218543,0.06764805034273513,1497480.0,97053.51095055317
A,0.0009112117124710456,0.03502443565278101,0.9966887417218543,0.06767086330935251,1496940.0,97019.64326032964
A,0.0009414780660213572,0.035130718954248366,0.9966887417218543,0.06786922209695603,1492260.0,96726.12327839242
A,0.0009624291636440303,0.0352046783625731,0.9966887417218543,0.06800723000451876,1489020.0,96522.91713705126
A,0.0009761532395644485,0.035250029277432954,0.9966887417218543,0.06809184481393507,1487040.0,96398.73560623165
A,0.0010086013858667045,0.03537015276145711,0.9966887417218543,0.06831593281888335,1481820.0,96071.34793407089
A,0.0010102555053428945,0.03538678579826005,0.9966887417218543,0.06834695731153496,1481100.0,96026.19101377287
A,0.0010381677735605333,0.03549109774790709,0.9966887417218543,0.06854150062620971,1476600.0,95743.96026191014
A,0.0010472522141653496,0.035570787047979203,0.9966887417218543,0.06869009584664537,1473180.0,95529.46489049446
A,0.001057404495618684,0.035612872692853764,0.9966887417218543,0.06876856294265478,1471380.0,95416.57258974938
A,0.001091884860061903,0.03573548616882346,0.9966887417218543,0.06899713467048711,1466160.0,95089.18491758862
A,0.0010938941582976885,0.03575671180803041,0.9966887417218543,0.06903669724770643,1465260.0,95032.73876721607
A,0.0011146368960747138,0.03585894686680963,0.9966887417218543,0.06922723091076356,1460940.0,94761.79724542786
A,0.0011330476543395633,0.035944590398853594,0.9966887417218543,0.0693868142000922,1457340.0,94536.01264393768
A,0.0011466003684712897,0.03598326359832636,0.9966887417218543,0.06945886696665514,1455720.0,94434.40957326711
A,0.0011701681131216994,0.0361084452975048,0.9966887417218543,0.06969205834683956,1450500.0,94107.02190110635
A,0.001174084123073063,0.036130116432601125,0.9966887417218543,0.06973242210123942,1449600.0,94050.5757507338
A,0.0012038086204421469,0.03623450102323342,0.9966887417218543,0.06992682076896271,1445280.0,93779.63422894558
A,0.001214541066057322,0.036321950042234825,0.9966887417218543,0.07008964955175223,1441680.0,93553.8496274554
A,0.00122102435578644,0.03636143996134332,0.9966887417218543,0.07016317016317017,1440060.0,93452.24655678483
A,0.001245866350814382,0.036489271426839616,0.9966887417218543,0.07040112267571044,1434840.0,93124.85888462407
A,0.0012498597872791556,0.036515831614703384,0.9966887417218543,0.07045055588063195,1433760.0,93057.12350417701
A,0.001272402831336852,0.03661800486618005,0.9966887417218543,0.07064069467261207,1429620.0,92797.47121246331
A,0.001284395272858093,0.0367117941212343,0.9966887417218543,0.07081519821197506,1425840.0,92560.39738089862
A,0.0012944030421880679,0.036747649859602,0.9966887417218543,0.07088190274343575,1424400.0,92470.08354030256
A,0.0013171510025954633,0.03687821612349914,0.9966887417218543,0.07112476370510397,1419180.0,92142.69586814179
A,0.001326066792935356,0.03690987124463519,0.9966887417218543,0.07118363485869693,1417920.0,92063.67125762023
A,0.0013558173155843215,0.03700971351284889,0.9966887417218543,0.07136929460580912,1413960.0,91815.30819598104
A,0.0013792120580502533,0.0371100973985945,0.9966887417218543,0.0715559253536194,1410000.0,91566.94513434183
A,0.0013838533162452114,0.037142152023692004,0.9966887417218543,0.07161551272900309,1408740.0,91487.92052382027
A,0.0014108161851438049,0.03727554179566563,0.9966887417218543,0.07186343559746926,1403520.0,91160.53285165952
A,0.001416413780003911,0.037307882994546356,0.9966887417218543,0.07192353643966547,1402260.0,91081.50824113796
A,0.0014431108544634569,0.0374098931145911,0.9966887417218543,0.07211308097747963,1398300.0,90833.14517949875
A,0.001457061968871992,0.03751246261216351,0.9966887417218543,0.0723036271919289,1394340.0,90584.78211785956
A,0.0014616071804353459,0.03754521641511788,0.9966887417218543,0.07236446688303882,1393080.0,90505.757507338
A,0.0015001007674460473,0.03768152228342514,0.9966887417218543,0.07261761158021714,1387860.0,90178.36983517725
A,0.0015063766946103471,0.037719298245614034,0.9966887417218543,0.07268775658053611,1386420.0,90088.05599458117
A,0.001534800435711264,0.03781882145998241,0.9966887417218543,0.07287253359157486,1382640.0,89850.98216301648
A,0.0015617375455369558,0.037928427419354836,0.9966887417218543,0.07307598931779558,1378500.0,89591.32987130278
A,0.001570866481554892,0.037957124842370744,0.9966887417218543,0.07312925170068027,1377420.0,89523.59449085573
A,0.0016015215109909864,0.03809644348816606,0.9966887417218543,0.07338778495672316,1372200.0,89196.20681869496
A,0.001609528536846895,0.038139888494678156,0.9966887417218543,0.07346839150598,1370580.0,89094.60374802438
A,0.0016321160361046718,0.03823678861788618,0.9966887417218543,0.07364815267922682,1366980.0,88868.81914653421
A,0.0016539288290189369,0.03835372069317024,0.9966887417218543,0.07386503067484664,1362660.0,88597.87762474599
A,0.001659445099754869,0.03837817161800332,0.9966887417218543,0.07391037446286067,1361760.0,88541.43147437344
A,0.0016953694540879833,0.03852060404402355,0.9966887417218543,0.07417447018235584,1356540.0,88214.04380221269
A,0.001707379706249078,0.03856502242152467,0.9966887417218543,0.07425681509806341,1354920.0,88112.44073154211
A,0.0017233390481540818,0.038664097623635194,0.9966887417218543,0.0744404599975269,1351320.0,87886.65613005194
A,0.0017453710364928549,0.03878366189923979,0.9966887417218543,0.07466203646285503,1347000.0,87615.71460826372
A,0.0017502697103912617,0.0388086642599278,0.9966887417218543,0.0747083643584016,1346100.0,87559.26845789117
A,0.001774306340892537,0.03895431603468358,0.9966887417218543,0.07497820401046208,1340880.0,87231.8807857304
A,0.0017846428982161962,0.03900479460930413,0.9966887417218543,0.07507170470133433,1339080.0,87118.98848498533
A,0.0018095462965290261,0.03910106521174331,0.9966887417218543,0.07525,1335660.0,86904.49311356965
A,0.0018380334514530156,0.03922846344324254,0.9966887417218543,0.0754858934169279,1331160.0,86622.26236170693
A,0.0018422048545230902,0.03924892424044856,0.9966887417218543,0.07552377367958851,1330440.0,86577.1054414089
A,0.0018688951738803793,0.039397905759162306,0.9966887417218543,0.07579954671367414,1325220.0,86249.71776924813
A,0.0018817502820844434,0.03945471228208153,0.9966887417218543,0.0759046778464254,1323240.0,86125.53623842854
A,0.0019017684863446053,0.03954802259887006,0.9966887417218543,0.07607734108429166,1320000.0,85922.33009708737
A,0.0019314836244431937,0.03968358602504944,0.9966887417218543,0.07632813490554077,1315320.0,85628.81011515015
A,0.0019340258450788346,0.03969928778686362,0.9966887417218543,0.07635717909690512,1314780.0,85594.94242492663
A,0.001955105971133911,0.03985171455050973,0.9966887417218543,0.07663908338637812,1309560.0,85267.55475276586
A,0.0019751237976778076,0.039915130619281265,0.9966887417218543,0.07675634323600664,1307400.0,85132.08399187175
