modelo,auc_pr_media,auc_pr_sd,roc_auc_media,segundos_media,mejor_iteracion,variables
LGB_native_recency,0.5809093507294988,0.03690886723053667,0.9125052573536617,78.09691669999545,592.0,244.0
LGB_native_uniform,0.573466502268815,0.039041034472272376,0.9121047361054851,77.20160856664491,715.0,244.0
LGB_native_recent300k,0.5679216676956952,0.03762000702736562,0.9068436761775845,52.97808440000517,635.0,244.0
