auc_pr,roc_auc,brier,threshold,precision,recall,f1,tn,fp,fn,tp,costo_q,alertas_por_100k
0.468351019842707,0.8950017489991838,0.022482799041510182,0.00638912800755375,0.05155221072436501,0.9716312056737588,0.09790959442558514,10606,15123,24,822,2822940.0,60000.0
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006403445308286145,0.051626680065318425,0.9716312056737588,0.09804389312977099,10629,15100,24,822,2818800.0,59913.452492944496
0.468351019842707,0.8950017489991838,0.022482799041510182,0.0064180107173083395,0.051701364865714826,0.9716312056737588,0.09817856076440729,10652,15077,24,822,2814660.0,59826.90498588899
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006436167543741547,0.05177300497575109,0.9716312056737588,0.0983077199067153,10674,15055,24,822,2810700.0,59744.120413922865
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006464933645018293,0.05184811404062066,0.9716312056737588,0.09844311377245508,10697,15032,24,822,2806560.0,59657.57290686735
0.468351019842707,0.8950017489991838,0.022482799041510182,0.0064909945130715956,0.05192344134925147,0.9716312056737588,0.0985788810937219,10720,15009,24,822,2802420.0,59571.02539981185
0.468351019842707,0.8950017489991838,0.022482799041510182,0.00650907371442275,0.051998987854251014,0.9716312056737588,0.09871502341779753,10743,14986,24,822,2798280.0,59484.477892756346
0.468351019842707,0.8950017489991838,0.022482799041510182,0.0065222428746873565,0.0520747545137789,0.9716312056737588,0.09885154230052312,10766,14963,24,822,2794140.0,59397.93038570085
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006539767306523567,0.052147433864112164,0.9716312056737588,0.09898247937865012,10788,14941,24,822,2790180.0,59315.145813734714
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006550086980802069,0.05222363405336722,0.9716312056737588,0.09911973953937055,10811,14918,24,822,2786040.0,59228.59830667922
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006567752712097098,0.052300057262836416,0.9716312056737588,0.09925738090925557,10834,14895,24,822,2781900.0,59142.0507996237
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006581269846900003,0.05237670447304702,0.9716312056737588,0.09939540507859734,10857,14872,24,822,2777760.0,59055.5032925682
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006597271195864871,0.052389764533214214,0.9704491725768322,0.09941272628201248,10879,14850,25,821,2778000.0,58968.9557855127
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006619543466272401,0.0523995143459646,0.9692671394799054,0.09942406789936345,10900,14829,26,820,2778420.0,58886.171213546564
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006645574958797485,0.052476641494944326,0.9692671394799054,0.09956289460903352,10923,14806,26,820,2774280.0,58799.62370649107
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006661268940798217,0.052553996026405175,0.9692671394799054,0.09970210955073257,10946,14783,26,820,2770140.0,58713.076199435556
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006679999648468864,0.05263157894736842,0.9692671394799054,0.09984171435529039,10969,14760,26,820,2766000.0,58626.52869238005
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006696335925389563,0.05270939127081057,0.9692671394799054,0.09998171066268366,10992,14737,26,820,2761860.0,58539.981185324556
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006716646307565375,0.052784036047634375,0.9692671394799054,0.1001159880349185,11014,14715,26,820,2757900.0,58457.19661335842
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006738498789577,0.052862300154718926,0.9692671394799054,0.10025675510453601,11037,14692,26,820,2753760.0,58370.64910630292
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006750027749703782,0.052940796694428305,0.9692671394799054,0.10039791857973676,11060,14669,26,820,2749620.0,58284.10159924742
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006775186190969556,0.05301952670373723,0.9692671394799054,0.10053948013732222,11083,14646,26,820,2745480.0,58197.5540921919
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006798313257606852,0.05309849122579809,0.9692671394799054,0.10068144146356436,11106,14623,26,820,2741340.0,58111.006585136405
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006812130645834736,0.053109396277803,0.9680851063829787,0.10069465789635458,11127,14602,27,819,2741760.0,58028.22201317027
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006832332186713178,0.05318872580854656,0.9680851063829787,0.10083723220881556,11150,14579,27,819,2737620.0,57941.674506114774
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006848307440631647,0.05326829268292683,0.9680851063829787,0.10098021083780284,11173,14556,27,819,2733480.0,57855.12699905927
0.468351019842707,0.8950017489991838,0.022482799041510182,0.006867595891930727,0.05334809796769151,0.9680851063829787,0.10112359550561797,11196,14533,27,819,2729340.0,57768.57949200376
