tasa_revision,k,precision_at_k,recall_at_k
0.001,88,1.0,0.028543626337982485
0.005,442,0.9276018099547512,0.13298734998378203
0.01,885,0.8824858757062147,0.25332468374959455
0.02,1771,0.6753246753246753,0.3879338306843983
0.05,4429,0.3865432377511854,0.5553032760298411
