modelo,auc_pr_validacion,roc_auc_validacion,segundos,iteraciones,variables_transformadas,varianza_pca
Logistica_ElasticNet,0.331161679799271,0.7631639147816653,191.84014470002148,100,274,
Logistica_L2,0.3311606129269681,0.7631462636291743,140.79143719997955,100,274,
Logistica_L1,0.33100371804757117,0.7631526815313427,204.5960338000441,100,274,
Logistica_PCA64,0.3032019543931493,0.7237215633035083,1.3397134999977425,38,64,0.9952816093516995
