fold,modelo,auc_pr,roc_auc,segundos,mejor_iteracion,variables
F1,LGB_native_uniform,0.565006048257034,0.9070001043611599,63.6613900999655,715,244
F1,LGB_native_recency,0.5679673173383677,0.9061702161515943,50.59896009997465,514,244
F1,LGB_native_recent300k,0.5587589026460832,0.9040204341217595,60.35626480000792,635,244
F2,LGB_native_uniform,0.616044061790815,0.9171689298839872,78.59591689996887,468,244
F2,LGB_native_recency,0.6225462928219384,0.9194827008181279,91.84185000002617,592,244
F2,LGB_native_recent300k,0.609276651230237,0.908288705826447,35.852145400014706,182,244
F3,LGB_native_uniform,0.5393493967585961,0.9121451740713082,89.34751870000036,829,244
F3,LGB_native_recency,0.55221444202819,0.9118628550912629,91.84993999998551,780,244
F3,LGB_native_recent300k,0.5357294492107653,0.9082218885845473,62.72584299999289,776,244
