variable,asociacion_point_biserial_abs_train
V7,0.0026316260094527057
amount_log1p_v7,0.0026082188764356877
V266,0.002586656164183416
V206,0.002582615638460859
V8,0.0025390509205845202
V334,0.0023964079637430083
id_20,0.002050632600274171
weekday_cos_v7,0.001999981136104939
V267,0.001582851301270616
V2,0.0014298628826377806
V241,0.00110820721875127
V65,0.0008637096368522888
V1,0.000783614309029196
V269,0.0007305386603932865
prior_frequency_card1_v7,0.00028810202797414507
V88,5.247437191009141e-05
V305,0.0
