dimension,segmento,n,auc_pr,roc_auc,precision,recall,f1,tn,fp,fn,tp,cost_q,cost_per_decision_q,alertas_por_100k,threshold
ProductCD,C,9388,0.7527214292466913,0.9329488470260507,0.3664383561643836,0.926771653543307,0.5252119589468988,6083,2035,93,1177,756900.0,80.62420110779719,34213.89007243289,0.05782912097118888
ProductCD,H,2562,0.5661399629106452,0.8866331699180211,0.19667170953101362,0.7926829268292683,0.3151515151515151,1867,531,34,130,238380.0,93.04449648711943,25800.15612802498,0.05782912097118888
ProductCD,R,4190,0.806728643216975,0.9512946204122674,0.23536737235367372,0.8915094339622641,0.3724137931034483,3364,614,23,189,207120.0,49.43198090692124,19164.677804295945,0.05782912097118888
ProductCD,S,2973,0.64753117046921,0.8577137582970032,0.37318840579710144,0.7152777777777778,0.49047619047619045,2656,173,41,103,203340.0,68.39556004036326,9283.551967709385,0.05782912097118888
ProductCD,W,69468,0.2903513400638502,0.84496664360945,0.12578616352201258,0.5104408352668214,0.2018348623853211,63588,4587,633,660,3484260.0,50.156330972534114,7553.117982380377,0.05782912097118888
historia,1,2979,0.695544216128677,0.9472073578595318,0.17267552182163187,0.875,0.2884310618066561,2439,436,13,91,133080.0,44.67270896273917,17690.500167841557,0.05782912097118888
historia,2-3,3520,0.5354101202735456,0.8885026216454984,0.15531914893617021,0.7156862745098039,0.25524475524475526,3021,397,29,73,193260.0,54.90340909090909,13352.272727272726,0.05782912097118888
historia,4-8,5729,0.3968095078852112,0.861660156339862,0.14551083591331268,0.6025641025641025,0.2344139650872818,5021,552,62,94,359760.0,62.79629952871356,11275.964391691394,0.05782912097118888
historia,9-16,76353,0.5662627354693385,0.9037278923836863,0.23387096774193547,0.7353914002205072,0.35488161745144986,67077,6555,720,2001,4203900.0,55.058740324545205,11205.84652862363,0.05782912097118888
monto,"(0.498, 44.0]",22521,0.6736369337906037,0.9333571874748346,0.31115731115731116,0.838468720821662,0.45387920141521354,19462,1988,173,898,1084440.0,48.15239110163847,12814.706274144133,0.05782912097118888
monto,"(117.0, 5366.82]",21960,0.5137985441157289,0.884848757799358,0.17542903840915283,0.727683615819209,0.28270412642669007,18048,3027,241,644,1557060.0,70.90437158469945,16716.757741347905,0.05782912097118888
monto,"(44.0, 68.5]",21804,0.5099080975198597,0.8808311566879946,0.21998612074947954,0.6252465483234714,0.32546201232032856,20173,1124,190,317,1000320.0,45.8778205833792,6608.879104751422,0.05782912097118888
monto,"(68.5, 117.0]",22296,0.4588617601359586,0.8726410657840692,0.18173557473875512,0.6451612903225806,0.28358738036157394,19875,1801,220,400,1248180.0,55.98223896663079,9871.725870111231,0.05782912097118888
